spu_id,spu_name,brand_name,category_lv1_name,category_lv2_name,category_lv3_name,gmv,unit_sold,avg_price
3459852920382741960,Apple iPhone 11 128G  移动联通电信4G全网通手机 2020新款,苹果 (APPLE),其他,二手,二手手机,63673155.0,13845,4599.0
3453977815089855226,小南瓜电煮锅宿舍学生锅家用多功能一体锅火锅电炒锅炒菜煮面小锅,小南瓜 (Little Pumpkin),家用电器,厨房电器,多用途锅,47559600.0,480400,99.0
3459696516934062945,Apple iPhone 11 64G  移动联通电信4G全网通手机 2020新款,苹果 (APPLE),其他,二手,二手手机,31383576.0,6824,4599.0
3477095431782202273,【周六福】HG-DZ-D21374-机缘足金吊坠【吴昕推荐】,周六福 (ZLF),珠宝礼品,珠宝首饰,黄金,16247364.0,18276,889.0
3437109641698479689,苹果Apple iPhone 11 全网通4G手机 双卡双待,苹果 (APPLE),,,,16016330.6367568,3543,4520.56
3429999262774245071,Apple iPhone 11 64G  移动联通电信4G全网通手机,苹果 (APPLE),,,,12339143.83,2683,4599.01
3480667300674326302,【不限购不砍单】苹果 Apple iPhone 12 (A2404)全网通5G,苹果 (APPLE),其他,二手,二手手机,11137954.539931333,1663,6697.51
3455068627395606440,【楠得好物】Apple iPhone 11 (A2223) 移动联通电信4G手机,苹果 (APPLE),其他,二手,二手手机,10082699.0,2101,4799.0
3458197489646179034,【大璐璐优选】后天气丹花献光彩紧颜系列礼盒7件套（333ml）,后 (The history of whoo),个护化妆,面部护肤,护肤套装,8971200.0,6230,1440.0
3425748969697978614,innisfree/悦诗风吟悦享鲜萃面膜深层补水持久保湿滋养柔嫩弹性,悦诗风吟 (Innisfree),,,,8246671.194999999,91620,90.01
3494576314051113002,【茂业X马帅专享】【雅诗兰黛】抗蓝光眼霜+小棕瓶套装,雅诗兰黛 (ESTEE LAUDER),个护化妆,面部护肤,护肤套装,7550550.0,3213,2350.0
3452420807706429689,Apple iPhone 11 128G 移动联通电信4G全网通手机 2020新款,苹果 (APPLE),手机数码,手机通讯,手机,7260549.5,1651,4397.67
3483398002243160962,雪花秀明星润燥滋盈礼盒定制版拍1到手共22件,雪花秀 (SULWHASOO),个护化妆,面部护肤,护肤套装,5905595.0,6636,889.93
3445928489457479519,【陈志朋专享】中国黄金 投资金条 50克,中国黄金 (China Gold),,,,5716625.0,276,20712.41
3472679114194967475,胖虎子安/路易威登/99新/公价10200/202103301613,路易威登 (Louis Vuitton),箱包饰品,箱包,拉杆箱包,5620200.0,551,10200.0
3474780512944550535,Apple iPhone 12 (A2404)128GB 支持移动联通电信5G 双卡双待手机,苹果 (APPLE),手机数码,手机通讯,手机,5575180.0,820,6799.0
3466759839617821140,蒂佳婷面膜,蒂佳婷 (Dr.Jart+),个护化妆,面部护肤,面膜,5492187.5,148438,37.0
3471576151653262608,Nintendo Switch【罗永浩专属】任天堂 健身环大冒险游戏套装 ,任天堂 (Nintendo),手机数码,电玩游戏,电玩游戏,5068698.0,1951,2598.0
3456927798336300362,【刘楠专享】中国黄金 财富金条 50克,中国黄金 (China Gold),珠宝礼品,珠宝首饰,金银投资,5009600.0,248,20200.0
3479936288642203572,雪花秀限定明星润燥滋盈礼盒,雪花秀 (SULWHASOO),个护化妆,面部护肤,护肤套装,4854060.0,5454,890.0
3459154427628382795,维达棉韧抽取面巾3层M码100抽,维达 (Vinda),,,,4560426.6,76134,59.9
3459169906749231138,【涂磊粉丝专享】后天气丹花献光彩紧颜系列7件套（333ml）,后 (The history of whoo),食品酒水,粮油调味,干货,4270740.0,2686,1590.0
3460252375770626138,维达棉韧抽取面巾3层M码100抽,维达 (Vinda),家居家装,纸品湿巾,抽纸,4215312.75,70373,59.9
3421739845503081622,JMsolution玻尿酸水乳套盒,JM SOLUTION,,,,3977426.4,6640,599.01
3480444256689216542,AB版撞色超声波可机洗夏被 LRT,毕加索家纺(Picasso),家居家装,家纺,被子,3807270.0,15930,239.0
3421730677752787057,JMsolution活性睡眠面霜系列,JM SOLUTION,,,,3755079.6300000004,16763,224.01
3501429050528922784,【陈三废专享】精典泰迪医护级婴儿纸尿裤超薄透气尿不湿拉拉裤,精典泰迪 (CLASSIC TEDDY),,,,3449907.0,38763,89.0
3505513514984943417,SK-II 旅行必备套装,SK-II,,,,3389165.0,11335,299.0
3502894626447190730,Ubras All in Time无尺码通勤小花漾文胸VII,Ubras,,,,3341050.8,12592,265.33
3466749430898775169,蒂佳婷面膜,蒂佳婷 (Dr.Jart+),个护化妆,面部护肤,面膜,3282800.0,22640,145.0
3477462539892302372,【周六福】HG-DZ-D21372-鲸波足金吊坠【姗姗专享】,周六福 (ZLF),珠宝礼品,珠宝首饰,黄金,3232977.0,3443,939.0
3474540469453758283,【阿纯生日会】AOEO阿纯生日会421大套盒,AOEO,个护化妆,彩妆,唇膏/口红,3113928.0,2836,1098.0
3445368243194338825,【桃子妈妈专享】哆啦哈蕾艺术家系列拉拉裤,哆啦哈蕾 (DUOLAHALEI),母婴,尿裤湿巾,布尿裤,3102985.0,34865,89.0
3458933138028399969,【0116年货节—买5送1加燕窝1盒】胶原蛋白果味饮料50ml10瓶/盒*5,庭秘密 (TST),食品酒水,饮料,其他-饮料,3047828.0,2261,1348.0
3457622285958134688,【张庭专享】鸭鸭2020新款羽绒服男短款加厚保暖DSB07A0030,鸭鸭服饰 (yaya),服装,男装,男士羽绒服,2871835.33333333,14431,199.0
3505524787202105949,【白金】【畅姐专享】高姿白金修斑焕白臻颜奢养套装-0926,高姿 (COGI),,,,2818075.0,9425,299.0
3435780937848385762,A雅鹿-鄂尔多斯纯羊毛六斤秋冬双人被,雅鹿（YALOO）,,,,2796142.81,1481,1888.01
3470298841272705062,胖虎子安/路易威登/99新/公价10200/992011270054,路易威登 (Louis Vuitton),箱包饰品,箱包,拉杆箱包,2751960.0,270,10192.44
3486173375716534947,erke/鸿星尔克男女情侣款中帮男板鞋休闲鞋11120203531-XM,鸿星尔克 (Erke),运动健康,运动鞋包,休闲鞋,2729413.5,10962,248.99
3494814270254903476,【祖蓝专享】贵州茅台  飞天茅台白酒  酱香型 500ml ,茅台 (MOUTAI),食品酒水,酒,白酒,2690699.5,673,3998.07
3457691909575822185,【衣哥-补贴专享】Apple iPhone 11移动联通电信4G手机 128G黑色,苹果 (APPLE),手机数码,手机通讯,手机,2684000.0,550,4880.0
3458364194313924059,【张庭专享】鸭鸭羽绒服2020年新款女中长款过膝DSL06B0030,鸭鸭服饰 (yaya),服装,女装,女士羽绒服,2531395.0,4695,539.17
3439999025212959656,第七代雅诗兰黛小棕瓶精华100ml,雅诗兰黛 (ESTEE LAUDER),,,,2483407.6666666665,2996,828.91
3455208269667257724,【 华子严选】雪中飞亮面羽绒服-X91247009F,雪中飞 (SNOW FLYING),服装,男装,男士羽绒服,2423820.0,12180,199.0
3482273792372413022,【周扬青专属】苹果Apple iPhone 12 5G手机 128G版本,苹果 (APPLE),其他,二手,二手手机,2364762.0,438,5399.0
3467355577544505241,雪花秀润致焕活精华肌底液30ml全新保湿补水尝鲜装,雪花秀 (SULWHASOO),个护化妆,面部护肤,护肤套装,2295160.4,24417,94.0
3486937843564196996,戴姆勒珊瑚绒毛巾【X】,戴姆勒,汽车用品,美容清洗,美容清洁用品及工具,2228292.0,22440,99.3
3450829734932559203,【12 2】苹果 Apple iPhone 11 (A2223) 128GB 新包装,苹果 (APPLE),,,,2183988.0,492,4439.0
3494565604675962973,【颖有尽有】后天气丹7件套348ml(大小水+大小乳+面霜+眼霜精华),后 (The history of whoo),个护化妆,面部护肤,护肤套装,2158425.0,2715,795.0
3477091375135208231,【周六福】Y04942-碧缘S925银镶碧玉圆珠吊坠【吴昕推荐】,周六福 (ZLF),珠宝礼品,珠宝首饰,玉石,2148613.0,3587,599.0
3435408699475266328,WIS水润面膜 补水保湿玻尿酸清洁,唯克仕 (WIS),,,,2122718.8000000003,23612,89.9
3494725403103355128,【冬姐专享】LA MER/海蓝之谜 经典精华面霜60ml,海蓝之谜 (LA MER),个护化妆,面部护肤,乳液面霜,2111283.0,1363,1549.0
3457291470413916707,【广东夫妇推荐】威露士洗衣液2L*2+500ml*4+300g+1L+60ml*4,威露士 (Walch),家居家装,衣物清洁,洗衣液,2104424.15,23409,89.9
3494046512604935922,【涂磊补贴】蒙牛  特仑苏纯牛奶250ml*16包*2箱,蒙牛 (MENGNIU),食品酒水,牛奶乳品,纯奶,1966588.0,16666,118.0
3454478243321795380,阿迪达斯官方 adidas 女运动型格梭织长裤DY8696,阿迪达斯 (Adidas),运动健康,运动服,运动裤,1934361.0,19539,99.0
3459682092194114703,ZXY 习酒国典白酒 500ML,国典,食品酒水,酒,白酒,1921718.0,641,2998.0
3481729149842897742,【欧辰专属】苏泊尔304不锈钢高压锅悦提燃气电磁炉通用1-2-3人,苏泊尔 (SUPOR),家居家装,厨具,烹饪锅具,1886143.5,5112,368.96
3478822041040373594,【陈三废gg推荐】蕾丝款色织提花四件套,毕加索家纺(Picasso),家居家装,家纺,床品套件,1870440.0,858,2180.0
3488830674138495411,小米1.5匹新一级巨省电变频静音睡眠版挂机家用空调KFR-35GW/S1A1,小米 (MI),家用电器,大家电,空调,1838364.0,836,2199.0
