spu_id,spu_name,brand_name,category_lv1_name,category_lv2_name,category_lv3_name,gmv,unit_sold,avg_price
3502515915415795397,【鳄鱼恤BOSS姐专场】新款高定鳄鱼皮链条手提包 ZP-218086,鳄鱼恤 (Crocosport/Crocodile),,,,1760356.0,31,56785.68
3479942310177970027,胖虎/劳力士/ROLEX/992104010510,劳力士 (Rolex),珠宝礼品,钟表,座钟挂钟,1232985.0,15,82199.0
3486111886968253925,52°五粮液 普五经典装（第八代）500ml（拉飞哥e）,五粮液 (WULIANGYE),食品酒水,酒,白酒,952320.0,40,23808.0
3479943448344267100,胖虎/劳力士/ROLEX/992105070144,劳力士 (Rolex),珠宝礼品,钟表,座钟挂钟,922788.0,12,76899.0
3477279582875424358,胖虎子安/路易威登ONTHEGO系列/99新/公价20800/992103010002,路易威登 (Louis Vuitton),箱包饰品,女包,女士钱包卡包,629965.0,35,17999.0
3437807331402998602,华硕(ASUS)灵耀X2DuoUX4000十代酷睿i714英寸双屏设计师本轻薄本,华硕 (ASUS),,,,539946.54,54,9999.01
3483997861107104375,【塞飞洛CiCi】新款女包WGG-1FA397,塞飞洛 (CEFIRO),箱包饰品,女包,女士单肩,509949.0,51,9999.0
3448010425562722273,【米娅专享】中国黄金 财富金条 50克,中国黄金 (China Gold),,,,502500.0,25,20100.0
3498364054441985112,卡地亚/99新/市场价70000/[210816watchDNBC],卡地亚（Cartier）,珠宝礼品,钟表,腕表,486174.0,26,18699.0
3455102808876019592,小米电视大师65英寸OLED,小米 (MI),家用电器,大家电,平板电视,451622.0,45,10036.04
3476956335021629986,胖虎子安腕表/香奈儿方糖系列/95新/公价20000/992104180022,出处,珠宝礼品,钟表,腕表,417552.0,48,8699.0
3497769609443081133,胖虎路易威登/95新/公价15900,路易威登 (Louis Vuitton),,,,404973.0,27,14999.0
3459928505205301214,胖虎路易威登/99新/公价16700/2021012003,路易威登 (Louis Vuitton),箱包饰品,箱包,其他-箱包,400800.0,24,16700.0
3493241350202256825,机械革命蛟龙7 17.3英寸游戏笔记本R7-5800H16GRTX3060165Hz2K,机械革命 (MECHREVO),电脑办公,电脑整机,笔记本,352306.5,44,8006.97
3431694390165398602,人人奢劳力士/95新/公价240000元/13368,劳力士 (Rolex),,,,352000.04,4,88000.01
3419414608165885156,莱思丽2020女鞋圆头凉鞋女百搭ME9569,莱思丽 (LESELE),,,,339966.34,34,9999.01
3499461673994037830,胖虎路易威登/95新/公价15900,路易威登 (Louis Vuitton),,,,329978.0,22,14999.0
3487140093414736506,【 明星专享】 53度茅台巴拿马太平洋万国博览会金奖纪念 1000ml,茅台 (MOUTAI),食品酒水,酒,白酒,319984.0,16,19999.0
3461897636133629364,【朱梓骁6】Apple/苹果 iPhone 12 Pro Max 全网通5G手机,苹果 (APPLE),手机数码,手机通讯,手机,318971.0,29,10999.0
3484725716170466078,胖虎路易威登NÉONOÉ系列/95新/公价14000/992105250017,路易威登 (Louis Vuitton),箱包饰品,箱包,拉杆箱包,301574.0,26,11599.0
3478267713191850732,胖虎子安/路易威登/95新/公价16800/992104230044,路易威登 (Louis Vuitton),箱包饰品,饰品,皮带腰带,289971.0,29,9999.0
3451135527980523491,【久久专享】中国黄金 财富金条 50克,中国黄金 (China Gold),,,,289500.0,15,19300.0
3461981845409906415,妃鱼/路易威登/手提包/99成新/[210201DNBC],路易威登 (Louis Vuitton),箱包饰品,箱包,其他-箱包,276675.0,21,13175.0
3456573235934666770,胖虎路易威登/99新(未使用)/公价11700/992009220240,路易威登 (Louis Vuitton),母婴,玩具,动漫玩具,275574.0,26,10599.0
3488635682757420418,华为HuaweiMate40E 5G手机支持鸿蒙系统官方授权正品,华为 (HUAWEI),手机数码,手机通讯,手机,267968.02470233804,52,5153.23
3466562988432071882,ROLENDO罗兰度机械钢带商务腕表男士手表7005,罗兰度 (Rolendo),珠宝礼品,钟表,腕表,267000.0,3,89000.0
3505703936730478736,欧束菲377红没药醇冻干液,欧束菲 (OUSHUFEI),,,,263940.0,53,4980.0
3462733522668807301,妃鱼/路易威登/单肩包/99成新/[210205DNBC],路易威登 (Louis Vuitton),箱包饰品,箱包,其他-箱包,260784.0,16,16299.0
3455226314955558797,[12 26]苹果12 Apple iPhone 12 128GB正品国行,苹果 (APPLE),其他,二手,二手手机,252760.5,40,6319.01
3452256810873045170,yhg英伦小镇四件套,梦巢家纺,家居家装,家纺,床品套件,247450.5,50,4949.01
3456191950313682613,华为/HUAWEIMate40Pro 5G 8GB+256GB 亮黑色,华为 (HUAWEI),手机数码,手机通讯,手机,244965.0,35,6999.0
3488304137060408353,【思娴优选】周大生 C119/足金三生三世福字手环,周大生 (Chow Tai Seng),珠宝礼品,珠宝首饰,黄金,242451.5,49,4947.99
3465581435891671594,【设计专用主机】 i5 i7/P1000/32G设计师平面绘图电脑主机工作站,攀升 (IPASON),电脑办公,电脑整机,台式机,242152.6226451738,54,4484.31
3498343298853126475,淘只/活动98新浪琴康卡斯自动男表L3.782.4.56.6表径43公价13000,浪琴 (Longines),珠宝礼品,钟表,腕表,241500.0,23,10500.0
3486434425959491211,心上 劳力士/公价103200元/95新/WCY-BR-GY ,劳力士 (Rolex),服装,男装,男士休闲裤,240000.0,3,80000.0
3490896418267393572,胖虎/圣罗兰/95新/公价15800/992107040476,圣罗兰 (YSL),个护化妆,彩妆,唇膏/口红,231971.0,29,7999.0
3462733481950507296,妃鱼/路易威登/单肩包/95成新/[210205DNBC],路易威登 (Louis Vuitton),箱包饰品,箱包,腰包胸包,227465.0,35,6499.0
3479191816232894792,胖虎/路易威登SPEEDY30系列/99新/公价13300/992104260156,路易威登 (Louis Vuitton),,,,223984.0,16,13999.0
3458980393414462257,胖虎香奈儿/99新/公价36500/992101050106,出处,个护化妆,彩妆,唇膏/口红,221994.0,6,36999.0
3427216609415175810,华为 HUAWEI P40 麒麟990 5G SoC芯片 8GB+128GB,华为 (HUAWEI),,,,220100.5,50,4402.01
3494795183420227192,胖虎萱萱/路易威登/95新/公价23800/992103280360,路易威登 (Louis Vuitton),,,,217767.0,33,6599.0
3491589531499664457,W【专享补贴】华为HuaweiMate40E5G手机支持鸿蒙系统官方授权正品,华为 (HUAWEI),手机数码,手机通讯,手机,217664.06194786384,38,5728.0
3452861269445605423,【明星自留款】婴儿棉95匈牙利白鹅绒厚被：warm净白羽绒被,梦洁 (MENDALE),个护化妆,彩妆,蜜粉散粉粉饼,211947.0,53,3999.0
3478807534754725987,优旋（youe shone）/劳力士/95新/后镶钻/hzas6885,劳力士 (Rolex),珠宝礼品,钟表,座钟挂钟,209993.0,7,29999.0
3474538993947921655,胖虎/巴黎世家Hourglass系列/95新/公价12900/992104020234,出处,服装,女装,女士其他,209979.0,21,9999.0
3477522937895098101,胖虎子安/古驰GG Marmont系列/95新/公价17200/992104070593,古驰 (GUCCI),箱包饰品,箱包,其他-箱包,209970.0,30,6999.0
3471307029094749869,胖虎赛琳/95新/公价25000/992103140477,出处,服装,男鞋,男鞋,207948.0,52,3999.0
3504048789453446040,胖虎子安腕表/卡地亚/95新/公价30000/992108290131,卡地亚（Cartier）,,,,206384.0,16,12899.0
3472069319167497257,【星橙专享】佩兰诗依克多因冻干粉冻龄精品套盒,佩兰诗,个护化妆,面部护肤,其他-面部护肤,206080.0,35,5888.0
3457658619376598830,#9108【珊珊推荐】中国黄金足金光圈手镯,中国黄金 (China Gold),珠宝礼品,珠宝首饰,黄金,204984.0,18,11388.0
3440543152480612673,老板娘 3N3N皮草外套xln  AL2203 ,3N3N,服装,女装,女士皮草,199980.0,20,9999.0
3487514518119180828,【卓仕琳专属】 Apple/苹果 iPhone 12 5G手机,苹果 (APPLE),手机数码,手机通讯,手机,195965.0,35,5599.0
3486111689265530379,52°五粮液 普五经典装（第八代）500ml（拉飞哥a）,五粮液 (WULIANGYE),食品酒水,酒,白酒,190464.0,32,5952.0
3492404793618608377,胖虎路易威登/9新/公价15900,路易威登 (Louis Vuitton),,,,189981.0,19,9999.0
3448730178673611619,GTG汾杏十二生肖白酒 475ml*12,汾杏 (fenxing),食品酒水,酒,白酒,188973.0,27,6999.0
3437782789892740898,Apple 苹果 iPhone Xs Max 手机,苹果 (APPLE),,,,186962.974,37,5053.05
3486111807377175123,52°五粮液 普五经典装（第八代）500ml（拉飞哥c）,五粮液 (WULIANGYE),食品酒水,酒,白酒,184512.0,31,5952.0
3477514064543012808,胖虎子安/普拉达/95新/442104210002,普拉达 (PRADA),箱包饰品,箱包,其他-箱包,182352.0,48,3799.0
3487930444866002672,"OFF-WHITE x NIKE 联名 DUKE LOW ""PINE GREEN"" 2019年版鞋 绿色",耐克 (NIKE),运动健康,运动鞋包,跑步鞋,179964.0,36,4999.0
3452453876689694910,smwjj紫色梦之兔高克重牛奶绒四件套22,梦巢家纺,家居家装,家纺,床品套件,179955.0,45,3999.0
3462290331435960845,胖虎高扬年货福利202102024112,出处,母婴,玩具,动漫玩具,179652.0,17,10567.76
3487161314982378843,【巧儿专享】天使之泪宫廷风圆形5珠吊坠,天使之泪 (ANGEPERLE),珠宝礼品,珠宝首饰,时尚饰品,179272.83333333334,35,5122.08
3458809891794340706,不梵-爪镶水滴吊坠/H369,喵喵猫,珠宝礼品,珠宝首饰,玉石,173316.0,26,6666.0
3444522815372545387,胖虎LV/98新/公价8750/992010280397,路易威登 (Louis Vuitton),箱包饰品,箱包,其他-箱包,170981.0,19,8999.0
3491472547176969372,胖虎路易威登NÉONOÉ系列/9新/公价14000,路易威登 (Louis Vuitton),箱包饰品,男包,男士单肩斜挎包,169983.0,17,9999.0
3449455665230314605,【阿爆静宜专享】纪尚希女士羽绒服YSL20LX0004,纪尚希(GIESARCAY),,,,169983.0,17,9999.0
3480800966482245715,【舒克推荐】iPhone 12 pro max 256G（BS）Apple/苹果国行5G手机,苹果 (APPLE),其他,二手,二手手机,167178.0,22,7599.0
3492692386868556094,【老庙黄金】LM145-足金古法传承手镯,老庙,珠宝礼品,珠宝首饰,黄金,166699.0,46,3623.89
3479174621339760762,ROLENDO罗兰度《黑耀》男士机械腕表（芬芳）,罗兰度 (Rolendo),珠宝礼品,钟表,腕表,161460.0,27,5980.0
3437090666658850172,安洁利严选劳力士自动机械表 以直播间讲解为主/sbk1117,劳力士 (Rolex),,,,161400.03,3,53800.01
3461558610642007120, 心上 迪奥/95新/KY-DBW,迪奥 (DIOR),个护化妆,彩妆,唇膏/口红,159000.0,15,10600.0
3459683857585016035,玛丝菲尔皮外套AA163576P,玛丝菲尔 (Marisfrolg),服装,男装,男士夹克,158000.0,10,15800.0
3457840764502068320,桔夕奢品LV 维多利亚黑/95新/公价20400/as2391,路易威登 (Louis Vuitton),箱包饰品,箱包,其他-箱包,157395.0,11,14308.64
3432426617757166093,大牛/劳力士/日志型126233 /95新/公价106500/36mm/18年全套,劳力士 (Rolex),珠宝礼品,钟表,座钟挂钟,156200.0,2,78100.0
3456397043591998097,妃鱼/古驰/单肩包/98成新/公价13000/[210102DNBC],古驰 (GUCCI),箱包饰品,箱包,腰包胸包,155574.0,27,5762.0
3476219746016439684,胖虎子安腕表/劳力士女装日志系列/95新/公价85000/992103190152,劳力士 (Rolex),珠宝礼品,钟表,腕表,154995.0,5,30999.0
3440568776146460824,优旋(youe shone)/劳力士/95新/参考价320000/hzas2202一,劳力士 (Rolex),,,,154942.52,2,77471.26
3493596127159292387,轻刻旅行 三亚海棠湾红树林度假酒店 2晚/3晚套餐 不约可退,轻刻,食品酒水,饮料,咖啡饮料,153473.6,46,3336.38
3488262398576611008,五粮液 第七代普五收藏版  52度浓香型白酒  500ml 套装（JGPY),五粮液 (WULIANGYE),食品酒水,酒,白酒,153408.0,47,3264.0
3486982517616183599,未使用款/618抖1/路易威登/95新/6377451,路易威登 (Louis Vuitton),,,,150168.0,3,50056.0
3454704399136515990,拆单链接  妃鱼/劳力士/自动机械/98成新/公价98800/[201223DCC],劳力士 (Rolex),珠宝礼品,钟表,座钟挂钟,150000.0,5,30000.0
3429462787443796811,单表 劳力士格林尼治型II116710升级11675 40mm/原钻公价90万,劳力士 (Rolex),,,,147400.02,2,73700.01
3452996215271239476,ZXY百年汾杏青韵坛 1.5L,汾杏 (fenxing),,,,146951.0,49,2999.0
3451907879114790005,芝华仕电动功能沙发丨可躺可摇 多个躺位 优质材质 放松q身心,芝华仕 (CHEERS),,,,145178.0,22,6599.0
3455789778207938705,smlw闲趣牛奶绒绣花四件套,梦巢家纺,家居家装,家纺,床品套件,143976.0,24,5999.0
3471989937493168646,胖虎芬迪/98新/公价11000/882103190081,出处,箱包饰品,饰品,皮带腰带,143976.0,24,5999.0
3491966182918076087,轻刻旅行 内蒙古4天3晚包车私家团双人套餐 希拉穆仁草原+响沙湾,轻刻,食品酒水,休闲食品,其他-休闲食品,143960.0,40,3599.0
3459265604920462797,LHT   白水杜康 年份封藏龙尊90 白酒 500ML,白水杜康 (BAISHUIDUKANG),食品酒水,酒,白酒,143952.0,48,2999.0
3491812554118972704,淘品汇/劳力士探险家型系列m216570/18全套/参考工价64700/表盘42,劳力士 (Rolex),珠宝礼品,钟表,座钟挂钟,140000.0,2,70000.0
3473969882872310236,胖虎子安/圣罗兰/9新/公价16900/992103290404,圣罗兰 (YSL),个护化妆,彩妆,唇膏/口红,139965.0,35,3999.0
3502752780681109986,【虎哥专享】科沃斯X1全能扫地机器人扫地拖地吸尘三合一智能家用,科沃斯（Ecovacs）,,,,139600.5329013442,28,4985.73
3432412190878089577,华为 HUAWEI nova 7 Pro  全网通5G手机  8GB+256GB ,华为 (HUAWEI),,,,138561.885,39,3552.87
3436230936495281221,胖虎香奈儿/99新/公价34800/992009130201,出处,个护化妆,彩妆,唇膏/口红,138396.0,4,34599.0
3490504884602720030,桔夕qq/卡地亚WGBB0009/95新/后镶钻/hzas9715,卡地亚（Cartier）,珠宝礼品,钟表,座钟挂钟,137776.0,2,68888.0
3467443942017120433,【Carsinya卡思亚】06套ZH00213雪花形戒指229103050142,卡思亚CARSINYA,珠宝礼品,珠宝首饰,时尚饰品,137530.0,17,8090.0
